,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
1721,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2009-03-31T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2009-03-30T00:00:00.000,,,Pothole,,N/A,,,CLOVE ROAD,NARROWS ROAD NORTH,,STATEN ISLAND,Unspecified,2009-03-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13468102
1722,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-04-14T00:00:00.000,Unspecified BRONX,Street Condition,2009-03-29T00:00:00.000,,,Pothole,,N/A,,,PELHAM PARKWAY,ESPLANADE,,BRONX,Unspecified,2009-04-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13468103
1723,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-04-14T00:00:00.000,Unspecified BRONX,Street Condition,2009-03-30T00:00:00.000,,,Pothole,,N/A,,,MOSHOLU PARKWAY,GRAND CONCOURSE,,BRONX,Unspecified,2009-04-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13468104
1724,INTERSECTION,DOT,Department of Transportation,QUEENS,,,Unspecified QUEENS,Street Condition,2009-03-26T00:00:00.000,,,Wear & Tear,,N/A,,,VANWYCK EXPR,91 AVE,,QUEENS,Unspecified,2009-03-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,13468124
1725,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-16T00:00:00.000,Unspecified QUEENS,Street Condition,2009-03-30T00:00:00.000,,,Pothole,,N/A,,,QUEENS BLVD,47 ST,,QUEENS,Unspecified,2009-04-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13468125
1726,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-03-27T00:00:00.000,Unspecified QUEENS,Street Condition,2009-03-26T00:00:00.000,,,Pothole,,N/A,,,42 AVENUE,CLEARVIEW EXPRESSWAY,,QUEENS,Unspecified,2009-03-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13468126
1727,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2009-04-07T00:00:00.000,Unspecified MANHATTAN,Street Condition,2009-03-30T00:00:00.000,,,Pothole,,N/A,,,FDR DRIVE EAST SERVICE ROAD,EAST 96 STREET,,MANHATTAN,Unspecified,2009-04-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13467995
1728,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2009-04-16T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2009-03-31T00:00:00.000,,,Pothole,,N/A,,,LEEWOOD LOOP,MOSEL AVENUE,,STATEN ISLAND,Unspecified,2009-04-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13475504
1729,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2009-04-16T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2009-03-31T00:00:00.000,,,Pothole,,N/A,,,BEACH AVENUE,NEW DORP PLAZA,,STATEN ISLAND,Unspecified,2009-04-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13475509
1730,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-04-16T00:00:00.000,Unspecified BRONX,Street Condition,2009-04-02T00:00:00.000,,,Pothole,,N/A,,,EAST GUN HILL ROAD,GUNTHER AVENUE,,BRONX,Unspecified,2009-04-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13496358
