,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
4479,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,NEW YORK,2007-09-27T00:00:00.000,08 MANHATTAN,Street Condition,2007-09-26T00:00:00.000,LEXINGTON AVENUE,PARK AVENUE,Pothole,,N/A, EAST 62 STREET,10065,,,,,MANHATTAN,Unspecified,2007-09-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 62 STREET,9464659
4480,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2007-10-11T00:00:00.000,Unspecified BROOKLYN,Street Condition,2007-09-26T00:00:00.000,,,Pothole,,N/A,,,BRIGHTON 14 STREET,BRIGHTON BEACH AVENUE,,,BROOKLYN,Unspecified,2007-10-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,9463663
4481,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2007-09-25T00:00:00.000,Unspecified BROOKLYN,Street Condition,2007-09-24T00:00:00.000,,,Pothole,,N/A,,,51 STREET,3 AVENUE,,,BROOKLYN,Unspecified,2007-09-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,9463665
4482,INTERSECTION,DOT,Department of Transportation,QUEENS,,2007-10-23T00:00:00.000,Unspecified QUEENS,Street Condition,2007-09-26T00:00:00.000,,,Pothole,,N/A,,,PARK LANE,UNION TURNPIKE,,,QUEENS,Unspecified,2007-10-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,9463686
4483,INTERSECTION,DOT,Department of Transportation,QUEENS,,2007-10-01T00:00:00.000,Unspecified QUEENS,Street Condition,2007-09-26T00:00:00.000,,,Pothole,,N/A,,,196 STREET,HOLLIS AVENUE,,,QUEENS,Unspecified,2007-10-01T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,9463687
4484,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2007-10-03T00:00:00.000,Unspecified MANHATTAN,Street Condition,2007-10-03T00:00:00.000,,,Pothole,,N/A,,,FULTON STREET,GOLD STREET,,,MANHATTAN,Unspecified,2007-10-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,9512040
4485,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2007-09-26T00:00:00.000,Unspecified MANHATTAN,Street Condition,2007-09-24T00:00:00.000,,,Pothole,,N/A,,,DELANCEY STREET,ALLEN STREET,,,MANHATTAN,Unspecified,2007-09-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,9463704
4486,INTERSECTION,DOT,Department of Transportation,BRONX,,2007-10-23T00:00:00.000,Unspecified BRONX,Street Condition,2007-09-27T00:00:00.000,,,Pothole,,N/A,,,EAST 135 STREET,LINCOLN AVENUE,,,BRONX,Unspecified,2007-10-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,9470810
4487,,DOT,Department of Transportation,MANHATTAN,,2007-09-26T00:00:00.000,Unspecified MANHATTAN,Street Condition,2007-09-26T00:00:00.000,7TH AVENUE,BLEECKER STREET,Blocked - Construction,2007-10-06T00:00:00.000,N/A, BARROW STREET,,,,,Street,MANHATTAN,Unspecified,2007-09-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,BARROW STREET,9458074
4488,,DOT,Department of Transportation,MANHATTAN,,2007-09-26T00:00:00.000,Unspecified MANHATTAN,Street Condition,2007-09-26T00:00:00.000,,,Unsafe Worksite,2007-09-29T00:00:00.000,N/A,,,7TH AVENUE SOUTH,WEST 12TH STREET,,Street,MANHATTAN,Unspecified,2007-09-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,9458077
