,address_type,agency,agency_name,borough,bridge_highway_direction,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
6564,BLOCKFACE,DOT,Department of Transportation,QUEENS,,LONG ISLAND CITY,2005-04-18T00:00:00.000,02 QUEENS,Street Condition,2005-04-17T00:00:00.000,QUEENS PLAZA SOUTH,QNSBO BR UP RY APPROACH,Pothole,N/A, 21 STREET,11101,,,,,QUEENS,Unspecified,2005-04-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,21 STREET,3572526
6565,BLOCKFACE,DOT,Department of Transportation,QUEENS,,,2005-07-19T00:00:00.000,Unspecified QUEENS,Street Condition,2005-07-15T00:00:00.000,23 AVENUE,DITMARS BOULEVARD,Pothole,N/A, 27 STREET,,,,,,QUEENS,Unspecified,2005-07-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,27 STREET,3575540
6566,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2005-01-07T00:00:00.000,Unspecified QUEENS,Street Condition,2005-01-06T00:00:00.000,,,Pothole,N/A,,,QUEENS BLVD,43 ST,,,QUEENS,Unspecified,2005-01-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3565528
6567,BLOCKFACE,DOT,Department of Transportation,Unspecified,,QUEENS,2005-07-20T00:00:00.000,0 Unspecified,Street Condition,2005-07-19T00:00:00.000,BEACH 81 STREET,BEACH 84 STREET,Pothole,N/A, SHOREFRONT PARKWAY,,,,,,Unspecified,Unspecified,2005-07-20T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,SHOREFRONT PARKWAY,3584451
6568,INTERSECTION,DOT,Department of Transportation,BRONX,,,2005-03-28T00:00:00.000,Unspecified BRONX,Street Condition,2005-03-24T00:00:00.000,,,Pothole,N/A,,,EAST 135 STREET,3 AVENUE,,,BRONX,Unspecified,2005-03-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3630414
6569,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,,2005-12-11T00:00:00.000,Unspecified MANHATTAN,Street Condition,2005-12-10T00:00:00.000,5 AVENUE,6 AVENUE,Pothole,N/A, WEST 50 STREET,,,,,,MANHATTAN,Unspecified,2005-12-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WEST 50 STREET,3545082
6570,,DOT,Department of Transportation,MANHATTAN,,,2005-03-01T00:00:00.000,Unspecified MANHATTAN,Street Condition,2005-03-01T00:00:00.000,LEONARD STREET,FRANKLIN STREET,Unsafe Worksite,N/A, WEST BROADWAY,,,,,Street,MANHATTAN,Unspecified,2005-03-01T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WEST BROADWAY,41226
6571,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,,2005-01-05T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2005-01-04T00:00:00.000,,,Pothole,N/A,,,KERMIT AVENUE,PARKINSON AVENUE,,,STATEN ISLAND,Unspecified,2005-01-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3598502
6572,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2005-11-28T00:00:00.000,Unspecified QUEENS,Street Condition,2005-11-27T00:00:00.000,,,Pothole,N/A,,,HORACE HARDING EXPRESSWAY,UTOPIA PARKWAY,,,QUEENS,Unspecified,2005-11-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3579993
6573,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2005-05-25T00:00:00.000,11 MANHATTAN,Street Condition,2005-05-21T00:00:00.000,LEXINGTON AVENUE,PARK AVENUE,Pothole,N/A, EAST 98 STREET,10029,,,,,MANHATTAN,Unspecified,2005-05-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 98 STREET,3540977
6574,BLOCKFACE,DOT,Department of Transportation,QUEENS,,FLUSHING,2005-04-03T00:00:00.000,08 QUEENS,Street Condition,2005-04-02T00:00:00.000,152 STREET,153 STREET,Pothole,N/A, UNION TURNPIKE,11367,,,,,QUEENS,Unspecified,2005-04-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,UNION TURNPIKE,3578543
6575,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-05-12T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-04-27T00:00:00.000,,,Pothole,N/A,,,CROPSEY AVENUE,SHORE PARKWAY,,,BROOKLYN,Unspecified,2005-05-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3501293
6576,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-09-09T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-08-30T00:00:00.000,BROOKLYN QNS EXPRESSWAY,FRONT STREET,Pothole,N/A, YORK STREET,,,,,,BROOKLYN,Unspecified,2005-09-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,YORK STREET,3506167
6577,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-03-21T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-03-09T00:00:00.000,,,Pothole,N/A,,,JACKIE ROBINSON PARKWAY,VERMONT STREET,,,BROOKLYN,Unspecified,2005-03-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3498023
6578,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-02-27T00:00:00.000,05 BROOKLYN,Street Condition,2005-02-26T00:00:00.000,EUCLID AVENUE,PINE STREET,Pothole,N/A, LINDEN BOULEVARD,11208,,,,,BROOKLYN,Unspecified,2005-02-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,LINDEN BOULEVARD,3498093
6579,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-10-28T00:00:00.000,09 BROOKLYN,Street Condition,2005-10-27T00:00:00.000,EASTERN PARKWAY,UNION STREET,Pothole,N/A, UTICA AVENUE,11213,,,,,BROOKLYN,Unspecified,2005-10-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,UTICA AVENUE,3510579
6580,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-10-05T00:00:00.000,07 BROOKLYN,Street Condition,2005-10-04T00:00:00.000,4 AVENUE,5 AVENUE,Pothole,N/A, 53 STREET,11220,,,,,BROOKLYN,Unspecified,2005-10-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,53 STREET,3512474
6581,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-12-22T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-12-21T00:00:00.000,,,Pothole,N/A,,,BROADWAY,LEWIS AVENUE,,,BROOKLYN,Unspecified,2005-12-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3509668
